{LG}	spn
席	ts ɪ˨ k̚
帳	ts œː˧ ŋ
帶	t aːj˨˥
帶	t aːj˧
常	s œː˨˩ ŋ
帽	m ow˨˥
幀	ts ɪ˧ ŋ
幅	f ʊ˥ k̚
幕	m ɔː˨ k̚
幣	p ɐi˨
幫	p ɔː˥ ŋ
干	k ɔː˥ n
平	pʰ ɛː˨˩ ŋ
平	pʰ ɪ˨˩ ŋ
年	n iː˨˥ n
年	n iː˨˩ n
幸	h ɐ˨ ŋ
幻	w aː˨ n
幼	j ɐw˧
幾	k ej˥
幾	k ej˨˥
床	tsʰ ɔː˨˩ ŋ
序	ts ɵɥ˨
底	t ɐi˨˥
店	t iː˧ m
庚	k ɐ˥ ŋ
府	f uː˨˥
度	t ɔː˨ k̚
度	t ow˨
座	ts ɔː˨˥
座	ts ɔː˨
庫	f uː˧
庭	tʰ ɪ˨˩ ŋ
康	h ɔː˥ ŋ
廁	tsʰ iː˧
廉	l iː˥ m
廉	l iː˨˩ m
廊	l ɔː˨˩ ŋ
廠	tsʰ ɔː˨˥ ŋ
廢	f ɐi˧
廣	kʷ ɔː˨˥ ŋ
廳	tʰ ɛː˥ ŋ
延	j iː˨˩ n
建	k iː˧ n
廿	j aː˨
廿	j ɛː˨
弊	p ɐi˨
式	s ɪ˥ k̚
弓	k ʊ˥ ŋ
引	j ɐ˨˧ n
弟	t ɐi˨˥
弟	t ɐi˨
弱	j œː˨ k̚
張	ts œː˥ ŋ
強	kʰ œː˨˩ ŋ
強	kʰ œː˨˧ ŋ
彈	t aː˨˥ n
彈	t aː˨ n
彈	tʰ aː˨˩ n
彎	w aː˥ n
彙	w ɐi˨
彙	w uːj˨
形	j ɪ˨˩ ŋ
彩	tsʰ ɔːj˨˥
彭	pʰ aː˨˩ ŋ
影	j ɪ˨˥ ŋ
彼	p ej˨˥
往	w ɔː˨˧ ŋ
待	t ɔːj˨
很	h ɐ˨˥ n
律	l ɵ˨ t̚
後	h ɐw˨
徑	k ɪ˧ ŋ
徒	tʰ ow˨˩
得	t ɐ˥ k̚
從	tsʰ ʊ˨˩ ŋ
復	f ɐw˨
復	f ʊ˨ k̚
微	m ej˨˩
徵	ts ɪ˥ ŋ
德	t ɐ˥ k̚
徹	tsʰ iː˧ t̚
心	s ɐ˥ m
必	p iː˥ t̚
忌	k ej˨
忍	j ɐ˨˥ n
志	ts iː˧
忘	m ɔː˨˩ ŋ
忙	m ɔː˨˩ ŋ
忠	ts ʊ˥ ŋ
快	f aːj˧
念	n iː˨ m
忽	f ɐ˥ t̚
怒	n ow˨
怕	pʰ aː˧
怖	p ow˧
思	s iː˥
思	s iː˧
怡	j iː˨˩
急	k ɐ˥ p̚
性	s ɪ˧ ŋ
怨	j yː˧ n
怪	kʷ aːj˧
怪	kʷ ɐi˧
恐	h ʊ˨˥ ŋ
恒	h ɐ˨˩ ŋ
恢	f uːj˥
恥	tsʰ iː˨˥
恨	h ɐ˨ n
恩	j ɐ˥ n
恭	k ʊ˥ ŋ
息	s ɪ˥ k̚
悉	s ɪ˥ k̚
悔	f uːj˧
悚	s ʊ˨˥ ŋ
悟	ŋ̍˨
悠	j ɐw˨˩
患	w aː˨ n
悲	p ej˥
悶	m uː˨ n
情	tsʰ ɪ˨˩ ŋ
惑	w aː˨ k̚
惕	tʰ ɪ˥ k̚
惜	s ɪ˥ k̚
惟	w ɐi˨˩
惠	w ɐi˨
惡	ŋ ɔː˧ k̚
惡	ɔː˧ k̚
惡	w uː˧
惰	t ɔː˨
惱	n ow˨˧
想	s œː˨˥ ŋ
惹	j ɛː˨˧
愈	j yː˨
意	j iː˧
愚	j yː˨˩
愛	ɔːj˧
感	k ɐ˨˥ m
慈	tsʰ iː˨˩
態	tʰ aːj˧
慌	f ɔː˥ ŋ
慕	m ow˨
慘	tsʰ aː˨˥ m
慢	m aː˨˥ n
慢	m aː˨ n
慣	kʷ aː˧ n
慧	w ɐi˧
慧	w ɐi˨
慮	l ɵɥ˨
慰	w ɐi˧
慳	h aː˥ n
慶	h ɪ˧ ŋ
憂	j ɐw˥
憎	ts ɐ˥ ŋ
憐	l iː˨˩ n
憑	pʰ ɐ˨˩ ŋ
憶	j ɪ˥ k̚
懂	t ʊ˨˥ ŋ
懇	h ɐ˨˥ n
應	j ɪ˥ ŋ
應	j ɪ˧ ŋ
懲	tsʰ ɪ˨˩ ŋ
懶	l aː˨˥ n
懶	l aː˨˧ n
懷	w aːj˨˩
懸	j yː˨˩ n
懼	k ɵɥ˨
戀	l yː˨˥ n
戀	l yː˨˧ n
戇	ŋ ɔː˨ ŋ
戇	ts ɔː˧ ŋ
成	s ɛː˨˩ ŋ
成	s ɪ˨˩ ŋ
我	ŋ ɔː˨˧
